书名,作者,更新到,简介,详细连接,封面图
都市最强特种兵,尼姑庵的和尚,新书三十万了，可以宰杀了,"""他在战场上被召唤回国，原因无他，秉承父亲遗命完婚。本意想退婚，继续逍遥自在，却被岳父以死相逼，跟身家...?详细>>""",http://book.km.com/shuku/1271293.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
三界独尊,犁天,新书发布通知+番外小文,"""天帝之子江尘，转生在一个被人欺凌的诸侯少年身上，从此踏上一段轰杀各种天才的逆袭之路。在江尘面前，谁也...?详细>>""",http://book.km.com/shuku/1063890.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
茅山捉鬼人,青子,第2733 山海印的真相1,"""【最热门】茅山捉鬼人叶少阳勇闯都市，与人斗，与鬼斗，与魅妖美狐斗。湘西尸王，不死邪神，碟仙凶灵，四方...?详细>>""",http://book.km.com/shuku/1350956.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强特种兵之龙刺,赤色星尘,完本感言,军队中的老兵说，只有进入龙隐部队的人才能被称为最强者；而当你满怀兴奋的踏进龙隐部队大门的时候，你依然...?详细>>,http://book.km.com/shuku/1285630.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
凡人修仙传,忘语,忘语新书《玄界之门》,"一个普通山村小子，偶然下进入到当地江湖小门派，成了一名记名弟子。他以这样身份，如何在门派中立足,如何...?详细>>",http://book.km.com/shuku/151488.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
莽荒纪,我吃西红柿,番茄新书《雪鹰领主》五十万字了，可以看了~~,纪宁死后来到阴曹地府，经判官审前生判来世，投胎到了部族纪氏。这里，有夸父逐日……有后羿射金乌……更有...?详细>>,http://book.km.com/shuku/199546.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
傲世九重天,风凌天下,新书《天域苍穹》已发！兄弟姐妹们快来！,一笑风雷震，一怒沧海寒；一手破苍穹，一剑舞长天！一人一剑，傲世九重天！?详细>>,http://book.km.com/shuku/143905.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
至尊兵王,8难,第一千六百七十五章 华夏战神（终）,他是华夏隐龙的天之骄子、放荡不羁惜花护花的龙少，也是敌人心中的终极恶魔、辣手无情屠戮三千的“暴龙”，...?详细>>,http://book.km.com/shuku/1092297.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
造化之王,猪三不,第2451章 砸锅？,一夜之间，少年叶真突然发现自己拥有了一项奇异的能力！山间虫兽那无意义的叫声，传入他耳中，就变得不太一...?详细>>,http://book.km.com/shuku/1144584.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
抗日之兵魂传说,丑牛1985,第二三七三章结局也是开始（全书完）,现代兵王不小心穿越到了抗战时期一个傻子兵上，且看这个傻子兵如何给日军搅局。“一定要给我弄死那个二愣子...?详细>>,http://book.km.com/shuku/283204.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
武极天下,蚕茧里的牛,蚕茧新书，《真武世界》,一个梦想进入武府圣地的普通少年，立志追求极致武学。然而面对竞争激烈的考核，又有世家子弟的借势压人，小...?详细>>,http://book.km.com/shuku/179636.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
特种兵之利刃,蝼蚁望天,蝼蚁新书《狼牙兵王》,0824军事基地，有着华夏影子之称的特殊部队！国之利刃，红色龙牙！锋芒所过之处，天地色变，敌军丧胆！...?详细>>,http://book.km.com/shuku/1350886.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
首席御医,银河九天,完本感言,挽救你的生命，即挽救你的政治生命。机缘巧合之下，踏入了半官半医的“御医”之列。在展现中医强大魅力的同...?详细>>,http://book.km.com/shuku/143378.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超品相师,九灯和善,新书《超品巫师》上架,相师分九品，一品一重天风水有境界，明理，养气，修身，问道。二十一世纪的一位普通青年偶获诸葛亮生前的玄...?详细>>,http://book.km.com/shuku/1043254.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
官路弯弯,拾寒阶,致广大书友,李毅重生，立志官场，强国富民；用前世之记忆，建今生不朽基业；留一身正气，谱一世传奇。从学校到公务员，...?详细>>,http://book.km.com/shuku/143500.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
从仙侠世界归来,发狂的妖魔,第1909章 暴力镇压（第三更）,五年前，萧凡突然神秘失踪，生不见人，死不见尸，没人知道他其实是去了一个广袤无边，仙神林立，妖魔横行的...?详细>>,http://book.km.com/shuku/1350172.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
专职保镖,君天醉,第3044章 洪某认栽,一个从地狱归来的男人，快意都市，娶最美丽女人，踩最狂敌人的故事。我是女神的专职保镖，别靠近我，不然总...?详细>>,http://book.km.com/shuku/1349939.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强丹药系统,神域杀手,第一千八百零六章大结局,杨凡，一个捡破烂的高中生，无意中得到了一款系统。杨凡牛逼了！没办法，别人修真都是经过千锤百炼，一点点...?详细>>,http://book.km.com/shuku/1274249.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
他身上有条龙,黑夜与孤城,第2644章 出窍,他因爱人背弃而投身军旅，凭着天生军人天赋，被一支神秘没有番号的部队选中经过三年的枪林弹雨，他成为这支...?详细>>,http://book.km.com/shuku/1309685.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
逍遥派,白马出淤泥,第2423章 白白糟蹋,一本《南华经》，一篇《逍遥游》，引出天下功法秘笈无数。一介秀才，得‘药王’指点，修炼返老还童之术，功...?详细>>,http://book.km.com/shuku/1112179.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
逆天武神,书狂人,第2239章　番外之苏林,武魂，神通，斗气，巫法……古武，仙道。亿万位面，千百种修炼法门，孰强孰弱？百族林立，无数天骄与人杰，...?详细>>,http://book.km.com/shuku/1180208.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
全职高手,蝴蝶蓝,最后一次上传，完本感言。,网游荣耀中被誉为教科书级别的顶尖高手，因为种种原因遭到俱乐部的驱逐，离开职业圈的他寄身于一家网吧成了...?详细>>,http://book.km.com/shuku/143157.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
末世大回炉,二十二刀流,第1902章 摸索规律,丧尸爆发，人类绝境来临，地球磁场瞬变，一切回归最初，回到原始。末世，我来了。?详细>>,http://book.km.com/shuku/1351143.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
盗墓笔记,南派三叔,《后记》下,50年前由长沙土夫子（盗墓贼）出土的战国帛书，记载了一个奇特战国古墓的位置，50年后，其中一个土夫子...?详细>>,http://book.km.com/shuku/96575.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
混沌天体,骑着蜗牛去旅行,第2404章：灭世（完本）,废物？不能修炼？不！慕容羽的体质奇异，是天地间最强大的混沌天体！拳砸飞剑，脚踩仙器，肉身堪比神器，硬...?详细>>,http://book.km.com/shuku/1335910.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
三国之召唤猛将,青铜剑客,一千七百一十 我已君临天下，与卿共赏桃花（大结局）,关公战秦琼，我看行！穿越成被废的汉少帝刘辨，开始了艰难的三国历程。没地盘没兵马没人才，又有什么关系，...?详细>>,http://book.km.com/shuku/1299048.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
生死丹尊,偏旁部首,第2781章　最后的结局,唐明阳，一个逐出家族的纨绔废物，却意外觉醒前世生死丹尊的记忆，从此他的人生开始张狂肆意。世家天才，辱...?详细>>,http://book.km.com/shuku/1340045.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
重生之最强剑神,天运老猫,第2165章 大魔头,重头再来，为了掌控命运，再次进入了这款“活着的游戏”。这一次，他不会在受人所制。身为200级剑王，这...?详细>>,http://book.km.com/shuku/1350797.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
帝霸,厌笔萧生,第3203章万古渊,千万年前，李七夜栽下一株翠竹。八百万年前，李七夜养了一条鲤鱼。五百万年前，李七夜收养一个小女孩。今天...?详细>>,http://book.km.com/shuku/1253482.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
凌天战尊,风轻扬,第3040章 进宝库,地球最强兵王魂穿异世，融轮回武帝记忆，修《九龙战尊诀》，所向披靡，战威无可敌！会炼药、能炼器、懂铭纹...?详细>>,http://book.km.com/shuku/1286635.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
