书名,作者,更新到,简介,详细连接,封面图
人不轻狂枉少年,张少年,【394】 结局（二）,父母双亡的他在快要饿死的时候，选择走上一条不归路。当他踏进这个社会的时候，他盲目了。他被彻底改变了。...?详细>>,http://book.km.com/shuku/264344.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
猎鬼鲜师,流云,第四百七十七章   大结局,新郎离奇自杀，新娘与我一夜缠绵，让我陷入层层迷雾的灵异事件中。冤鬼索命，古宅养尸，人面鼓声，湘西赶尸...?详细>>,http://book.km.com/shuku/264324.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
带个悟空混都市,莫愁飞,第十八章 终章,无良的我，意外获得分身悟空后，原本平淡的生活变得风生水起。刷卡消费？不好意思，我只有金元宝。宠物藏獒...?详细>>,http://book.km.com/shuku/246781.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
逆世帝尊,小贩子,第七百零七章落幕 大结局,以身入魔，以魔入道，以道修仙。纷繁杂乱的世界，何为道，何为魔，何为仙！虽是出身卑微的乞儿，却逆天修行...?详细>>,http://book.km.com/shuku/242069.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
小萌仙，乖乖跟我走,秋水潋,第232章 幸福美满,作为一只天界灵物，湾湾可谓是丢尽了天界的脸。且不说因为失足掉入了人界，可你堂堂一介灵物，吸收日月精华...?详细>>,http://book.km.com/shuku/1290407.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
歧路迷局,英霆,第256章、适得其所（大结局）,大学毕业刚参加工作的乡村教师冯春波，面对接二连三的打击，认识到只有手中有了权，才能有话语权。他不得不...?详细>>,http://book.km.com/shuku/1290017.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
不王之王,石页文,第六十五章、母仪天下,此刻，他似乎意识到了，自己的头已经于身体分开了。向隆冷冷地看了眼伊万的头颅，而后，又冷冷地看着眼前所...?详细>>,http://book.km.com/shuku/1290015.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神剑风云,钧壹,第二百三十三回：相沫以儒都是真，公主罗成相为命。,神剑风云，讲述了朝廷里的兵部尚书罗巍，所掌管的旋风奇神剑被盗，所激起的寻找旋风奇神剑，捉拿盗剑恶贼的...?详细>>,http://book.km.com/shuku/1290009.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
木铎谈话录,《木铎谈话录》,实现中国梦，必须实施国人的精神再造（4）,这是一部对话体哲学著作。作者通过虚拟的两位副教授的对话，深刻地讨论了当下中国社会道德生活中亟需回答的...?详细>>,http://book.km.com/shuku/1290006.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
逆天黄金手,烟雨狂龙,第340章背水一战3,都市少年唐文龙，偶然之间捡到一个妖媚女杀手，阴差阳错的得到了杀手组织的逆天宝贝，黄金手！从开始自己逆...?详细>>,http://book.km.com/shuku/1290001.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
特种兵纵横花都,开车撞大树,格杀勿论,??一群从少管所和孤儿院挑选出来的少年，经历军方最残酷的训练，组成国家最神秘强大的部队。??他则是这...?详细>>,http://book.km.com/shuku/1289983.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品民工混都市,河边的小石子,0131昨晚喝多了,一个大学落榜的年轻人为实现人生理想，来到京城，不得已打工维持生计，遇到一个被人包下的吴晓因，吴晓因却...?详细>>,http://book.km.com/shuku/1289978.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
绝世官途,唐养,这个伴脚石（大结局）,今朝本是田舍郎，明暮就登天子堂。杨凡一向是颗被人看好的苗子，孰料刚步入物矿局，就因为领导失势，杨凡陪...?详细>>,http://book.km.com/shuku/1289973.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
大坡地,张金亮,第三十四章天上来的女子生活中的夫妻（5）,一幅太行古镇的史诗画卷；一部庄稼男女的绣像典藏；一曲鬼迹仙踪的比兴长歌。上世纪四十到九十年初期太行山...?详细>>,http://book.km.com/shuku/190453.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
狼王神医,闻香情,为了德川家族,唐威武偶然获得逆天医术，惩罚流氓恶霸，立威乡镇卫生院，带领自己的祖先唐伯虎，唐尧回到现代，感化魔教大...?详细>>,http://book.km.com/shuku/1289959.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
战雄天下,闻香情,运气还不错,"乱时纷纷,谁是赢家,坐看风生水起?详细>>",http://book.km.com/shuku/1289957.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
走出山沟沟,言开,第二二八章不舍离别,主人公徐远一生被情所困，爱情面前，他犹豫过、自卑过，当真爱来临时，他猛烈追求过，可是爱的越深，心就会...?详细>>,http://book.km.com/shuku/1289953.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
雷震九天,九9重天,第九十六章颠倒,人生自古谁无死，而孤独少年古天的人生中却难求一死，被人杀了，能够复活，雷打不灭，毒酒不死，次次死而复...?详细>>,http://book.km.com/shuku/1289951.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超级大仙医,天赐,第二百六十七章 隐居山林,同学，你的大姨妈来了嘛？护士妹妹别动，我在帮你治病呢！听好了，我的爱是博大的！只要神丹在手，校花校草...?详细>>,http://book.km.com/shuku/1289372.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
神武天下,御灵,第五百一十章 再揭新篇章（大结局）,先天之灵，厄众苍生，原本平凡的冲霄门外门弟子秦牧，却意外发现自己在生命层次之上，竟然是顶级的存在，而...?详细>>,http://book.km.com/shuku/1289368.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我的26岁女上司,公子晗,0325章 就是恶心你,一个是隐藏在公司内部的国际组织老大，一个是身世隐秘的冷艳御姐总经理。且看狂龙回国，在掀起惊涛骇浪之时...?详细>>,http://book.km.com/shuku/1289365.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
修真强少在都市,叫我奶爸,第五百三十九章 乘风归去,含怒归国的唐寅本想过点平淡的日子，可一枚神秘的青铜饰件却让他看到了一个全新的世界，那些虚无缥缈的传说...?详细>>,http://book.km.com/shuku/1289364.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
万界神皇,排骨,第577章 抱得美人归（大结局）,一指横枪破苍穹，一怒血海连碧天。少年报深仇，圆父梦，救美人，斩强敌，披荆斩棘，登临绝巅。?详细>>,http://book.km.com/shuku/1289362.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
大武尊,大鲨鱼,第365章 大结局,一个灵基被夺的少年无意间开启洪武棋局，得上古武修传承，背负起数千年前的使命，走上崎岖漫长的炼武大道，...?详细>>,http://book.km.com/shuku/1289361.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
不朽战神,梦入珠玑,第四百五十一章 不朽觉醒大结局,指天踏地的神袛，截川断流的气道修士。大千位面，天地动乱！妖魔恒立，大道争锋！且看少年韩易，踏九天、战...?详细>>,http://book.km.com/shuku/1289360.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品瞳术,翼V龙,第816章 无能为力,被高压电击中双眼后，中医学院的大二学生江少游却因祸得福，令双眼产生异变。他的眼睛不但能够透视，而且在...?详细>>,http://book.km.com/shuku/1289359.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
邪少医王,十三仪,第五百八十四章 比赛落幕（大结局）,美女我所欲，名利我所求。若想美女名利两全，只需银针一根，便可手到擒来……?详细>>,http://book.km.com/shuku/1289358.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品美女大小姐,阿特雷,第230章 英雄救美（大结局）,佣兵之王尚殇在一次任务失败之后，带着不可治愈的内伤，假返回华夏燕赵市。老头子捅破窟窿，遭受全世界追杀...?详细>>,http://book.km.com/shuku/1289356.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
天医狂少,love小7,第六百九十二章 大功告成（大结局）,繁华都市，我自逍遥，乱世佳人，江山如此多娇！五斗米教传人大师叶千，意外接收到了一个特殊的委托，惹上了...?详细>>,http://book.km.com/shuku/1289355.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
剃头匠,湘西鬼王,新书《剃头匠续集之古庙禁地》已发布,天涯头条热帖：我是民间剃头匠人，说说这行里不为人知的禁忌与手段几乎很少有人知道剃头这行里的门道，也很...?详细>>,http://book.km.com/shuku/1289233.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
龙魂战神,龙青玄,第三百四十二章 大结局,一个从埋龙之地爬出来的少年，意外获得绝世龙魂之体。至此，横行无忌；雄霸天下；败尽英雄；翻掌之间，天地...?详细>>,http://book.km.com/shuku/1289232.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
美女的隐形男神,落叶知秋,0084  独闯龙潭,一个偶然的机会惊获隐形异能，小人物变男神，对了，如果你能隐形，你最想做什么？偷看妹子洗澡，非礼小萝莉...?详细>>,http://book.km.com/shuku/1258903.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
吞噬天下,血妖,第196章 小灵苏醒（大结局）,妖弓在手，天地四方皆为禁域！噬灵逆天，看缺血少年如何吞噬天地，成就真仙！修士等级：蜕凡，化灵，凝液，...?详细>>,http://book.km.com/shuku/1288634.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
英雄联盟之王者无双,梦回炎黄,第四章 跨空间的盛大婚礼,群雄并起的符文大陆，铁与血的颂歌在这里奏起。这里是战火燃烧之地，也有着最残酷的游戏。或许下一秒你就是...?详细>>,http://book.km.com/shuku/1288632.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
修真狂医,天堂墙角,第二百八十八章  大结局,美女宫的弟子走出山下，不仅拥有一流的医术，而且更有八仙亢阳之体。?详细>>,http://book.km.com/shuku/1288630.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
战神无双,写书板,第三百六十四章 终极一战（完本）,武道大师，算个球！我要让成千上万的武道大师跪在我面前称我为神！不服那又怎样？本神挥挥手直接诛灭！谁敢...?详细>>,http://book.km.com/shuku/1288623.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
星际战神,王小虎,第两百六十五章 终,人类挖掘出玛雅文明，从而开启了大星际时代！普通少年唐龙，偶然得到龙魂宇宙之主的托付，获得无上秘籍，但...?详细>>,http://book.km.com/shuku/1144718.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
盗墓笔记之河木集,张家四叔.,第二百八十二章 尾声，结束（结局）,老九门的家族古辛，守护着长白山中的青铜巨门，巨门之后乃是终极，这终极又是何物？然《河木集》的再现，张...?详细>>,http://book.km.com/shuku/1288620.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
捉鬼有限公司,文字玩家,第一百零二章：蛋炒饭,或许你已经死了，但你并不知道。或者你知道你已经死了，但你不知道该去往何方。这时候请敲开我的房门，我将...?详细>>,http://book.km.com/shuku/1133799.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超能学霸,何太极,第263章 一切，都结束了（大结局）,突遭变故的苏剑遇到了一个浪荡不羁的游方道士，得到了一本“无字天书”，发现上面真的一个字都没有，之后无...?详细>>,http://book.km.com/shuku/1288614.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强修真邪少,痞子易,大结局：终于相见,万古一帝秦始皇居然穿越到了现代邪少身上，他将重写历史？还是塑造自己的辉煌，萌妹子般的女朋友，泼辣热血...?详细>>,http://book.km.com/shuku/1288611.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
英雄联盟之抢钱劫色,爱成囚,第一百八十五章   唯一胜利者，大陆一统,凯特琳、阿狸、娑娜，我来啦！德莱文，让我们一起去把德玛西亚踩在脚下吧！诺克萨斯人，你们的小钱钱也交出...?详细>>,http://book.km.com/shuku/1288605.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
三国之棋逢对手,棋道至尊,第五十章 徐荣的一击,貂蝉曼舞于前；甄姬轻歌于后；蔡琰弹琴于左；尚香吹箫于右；大乔被抱在怀；小乔横陈于腿；在这香艳无比的倚...?详细>>,http://book.km.com/shuku/1288603.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
美女的护花邪少,端午,第476章　大结局,叶飞云，华夏最隐秘的腾龙组织队长，杀戮世界的绝对王者，是无人超越的传奇，被人尊称为龙王。为了寻找初恋...?详细>>,http://book.km.com/shuku/1288202.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
不朽神皇,梦里战天,第345章　大结局,五行神王少年，逆天而上，追寻灭神之谜！踏天道，闯妖界，战魔界，三界大战，成就世界之王！诸神争霸，万族...?详细>>,http://book.km.com/shuku/1288190.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
护花三公主,卿炎,第275章　可喜可贺（大结局）,哼，相府家的幺儿有什么了不起，居然还敢嫌弃本公主好色？母后也忒心急，本公主还没有阅遍美人，怎可轻易出...?详细>>,http://book.km.com/shuku/1287810.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
逆天至尊,宙羽,第三百零一章 掌浮屠,天才科学家重生异界，成为原始部落首领幼子。两个不同灵魂融合，天才与蠢材的碰撞，前世遗憾今生实现。强者...?详细>>,http://book.km.com/shuku/1287677.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
绝品仙医,朝三暮四,第385章 离奇任务,吴岩身怀绝世医术，虽天生阴脉，他却好运不断，和女医生住一块也就罢了，连女记者也不放过他，哇塞，后面还...?详细>>,http://book.km.com/shuku/1287674.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
龙脉,一高先生,第二十六章？台湾之行（下）（120-121）,一个资深公务员的手记引人入胜，一个中央国家机关的举措摄人魂魄，一个大型国家级文化项目的论证、立项、建...?详细>>,http://book.km.com/shuku/1287669.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
近身特工,都少爷,第二百七十四章尘埃落定,退役兵王混迹都市，奇遇警花、校花、美女总裁，看主角如何成为群花的护花使者……推荐好书《泡妞秘籍：都市...?详细>>,http://book.km.com/shuku/1287664.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
绝对秘密：行长日记,鸣歉2014,大结局（全文完）,因为寂寞，她别出心裁制造浪漫的邂逅，因为寂寞，她向男权发起挑战，在物欲横流的金融帝国，她遍体鳞伤。江...?详细>>,http://book.km.com/shuku/1287503.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
异界高手花都行,瘦鱼,第82章：暗行阴谋,不一样的视角，异界高手来到花都，替换他人身份，从此在地球安然生活。但紧接着一桩桩不平凡的事，一个个美...?详细>>,http://book.km.com/shuku/1287497.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
红尘美人往哪跑,回眸一瞬,第八十五章 人生若只如初见,“笑一声红尘，无聊也罢看破也好此生已是过眼云烟～无处可寻只想换半生的逍遥自得醒时对人笑梦里忘不对酒当...?详细>>,http://book.km.com/shuku/1286829.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
元上草,子木,第五十八章  大哉乾元,南宋末年，蒙古大军意在整个汉室，天下战火纷飞。当时几乎揽括了川南与合州（重庆）的曹家、林家，为了免受...?详细>>,http://book.km.com/shuku/1286122.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
倾世荣华：王妃太腹黑,弦幺,第九十五章 这天空蓝的煞是好看（完）,她是上古召唤神族后裔，嚣张纨绔，召军队驭万兽，好不威风凛凛。一朝重生，她是翔天大陆慕容家族大小姐，亦...?详细>>,http://book.km.com/shuku/1286120.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
美人心计：宫锁沉香,慕蓉仙,第488章  一切都是一场梦,一场重复不断的梦，究竟在向她暗示什么一次难忘的冒险之旅，等待她的又是什么样的惊险一个意外的穿越之旅将...?详细>>,http://book.km.com/shuku/1286119.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
风云：精忠报国,子木,写在作品最后,靖康耻，犹未雪，臣子恨，何时灭？狼烟烽火并起，天下波谲动荡，就连江湖也是血雨腥风，是仗剑行侠拯救苍生...?详细>>,http://book.km.com/shuku/1286115.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
花都高手,长沙满哥,第一百零六章 发泄就得给钱,犯罪，有N种，可天才，却只有一种，本书所描写的，恰恰是你没有想到的那一种。公安局长被绑架，刑警队员被...?详细>>,http://book.km.com/shuku/1286113.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
邪魅王女：凤舞天下,念人心,第六十七章 三教第一,她是西海龙王敖闰和西方冰霜巨龙希瓦娜之女，血统高贵却日日夜夜饱受族人的虐待和冷言冷语，她发誓报仇，定...?详细>>,http://book.km.com/shuku/1286111.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
五元神丹诀,月下香,第八十一章   血言冰封,古城风原本只是一个书香之家的公子，因为修真门派的内斗，无辜卷进了一场争斗之中。家族受到迫害，被父亲好...?详细>>,http://book.km.com/shuku/1285922.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
花海神医,我爱风儿也爱沙,第381章 大结局,花海无涯，神医有情！且看神医古云枫如何纵横花海！?详细>>,http://book.km.com/shuku/1285921.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
绝世霸主,神霸天,第五百五十二章  绝世霸主（大结局）,重回少年，再续无敌传说！本书是一本少有的玄幻穿越，而且是强者穿越，并非扮猪吃虎，一开始就无限碾压。希...?详细>>,http://book.km.com/shuku/1285615.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
凌天神皇,宝宝吉祥,第570章　结局之我是终极导演,见过比贵族还猖狂的家丁吗？见过比纨绔还嚣张的家丁吗？见过比帝王还霸气的家丁吗？见过勾搭自家小姐的家丁...?详细>>,http://book.km.com/shuku/1285263.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
异界之灵控天下,悠空,第387章　大结局,药医必死人，力破金刚身！孟羽原本是地球上一位叱咤风云的顶尖职业玩家，掌握着强大的实力和炼丹技能。而在...?详细>>,http://book.km.com/shuku/1285261.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
帝天至尊,天语,第一百二十八章 随缘,炼丹炼器世家的传人秦鼎遭逢灭门大祸，十五岁的他，被传送到一片陌生的大陆，重新修炼功夫，却也不忘炼丹，...?详细>>,http://book.km.com/shuku/1285004.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我的老婆是魔女,寂寞如风,第七百二十四章 就这么完结了,小屌丝无疑触怒女总裁，被百般刁难，但却苦中有乐，充满了暧昧与争斗的爱恨情仇从此拉开了序幕……?详细>>,http://book.km.com/shuku/1285002.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
保家仙,喜狼狼,第160章　结局二,源自东北农村的诡异故事，保家仙这个词只在我们的记忆深处停留，虽然短暂但却没有人会把他遗忘，尤其是从东...?详细>>,http://book.km.com/shuku/306508.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
祭流年：幻世浮华录,浮生浅墨,第70章　沧海桑田，唯心不变,她一直在想，拥有这种强大的力量到底是为了什么，一直不停的轮回又是为了什么，直到遇见了他和他们，她才恍...?详细>>,http://book.km.com/shuku/1284486.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
杀戮灭世,那往年的风霜,第114章　如今的风城,初临异世大陆，他也只曾只是一个平凡热血少年。面对这片光怪陆离，奇异非常的魔幻大陆，看他如何独步异世，...?详细>>,http://book.km.com/shuku/306677.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
陨落创神,逆水三石,第300章　壮阔时代,远古时代，东西方众神之战后，诸神陨落，留下神殿以待后世有缘之人！少年高战身负血仇，得数座神殿传承背负...?详细>>,http://book.km.com/shuku/1284398.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
美女老婆爱上我,妖静小柒,第一百三十三章 这个女人很无耻2,昨天的这个时候，凌风可还拿着望远镜站在公寓的窗户前，偷窥公寓对面的一个洗澡不拉帘的绝美小少妇，可是没...?详细>>,http://book.km.com/shuku/258217.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
中华英雄谱,苏序,第二百零四章　骑马与砍杀,泱泱华夏五千年，盖世英雄无数西楚霸王项羽，不败战神白起，智冠天下诸葛亮，命世英才刘伯温，千古佳人西施...?详细>>,http://book.km.com/shuku/258179.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
快乐仙皇,月半人山,第一百零五章 甲光向日（大结局）,宽大香床上，红烛扑闪，面对三个娇俏的美女，陈斌掏出了四样东西。“嘿，这个你们怕吧？”陈斌掏出了一个木...?详细>>,http://book.km.com/shuku/258168.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品武侯,夏隐侯,第三百七十三章 求救信,掌天地灵气，握神秘圣器，武者灵师，四方诸侯，天下雄主，刘扬眼里尽皆土鸡瓦狗。一个孱弱少年，穿越异世，...?详细>>,http://book.km.com/shuku/257997.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
重生之香港大亨,酸菜粉条,第二百零八章 一路高歌,“全本买断，放心阅读，完本保障”香港《明报》评论王小虎：他是最出色的电影人。香港《娱乐双周刊》评论王...?详细>>,http://book.km.com/shuku/257833.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
最强武神,汗泥巴,第一百七十五章 宵小,武道之极，担山赶海，摘星拿月。杨熠，一个豪门弃子，天生的废物，突然有一天收到一个灵种，能够消化天地任...?详细>>,http://book.km.com/shuku/257803.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
永生仙道,冲冠,第301章 阳极烈光刀,我道长生多歧路，百岁云霞烟灭，欲骑鲸东去，寻龙伯未钓，或在浪端。袖里青龙常嘶否，黄鹤伊人去。同赴海，...?详细>>,http://book.km.com/shuku/257791.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我的野蛮老婆,苏言心,第一百三十五章 法庭相遇,前世的悲催男，今世重生破落富二代，碰到个野蛮媳妇，火爆小姨子一段段的暧昧接踵而至，主角如何才能独善其...?详细>>,http://book.km.com/shuku/257527.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
黑道少帅,墨将,第163节  双城记（3）,文兴堂口帮规第一条：自入社团起，食同桌，袍同服，共事父母子女，若有不念此情者，死于万刀之下。第二条：...?详细>>,http://book.km.com/shuku/257362.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
少年神医,柳下僧,第一百八十八章  夜谈,妹子，我是医生埃姐姐，我真的是医生埃嫂子，我千真万确是医生埃?详细>>,http://book.km.com/shuku/257321.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超级手机,手可摘星辰,第二百五十八章 超级手机的秘密,在一次出差途中，无意中获得一部手机，从此生活发生了翻天覆地的变化，在一条条神秘短信的指引下，他如鱼得...?详细>>,http://book.km.com/shuku/257299.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
顶级黑客,济水,第八十一回 突变的会议,一起凶杀案引出了一连串的迷案，却在一个网络黑客和女警联手之下成功的告破，这些案件政界、商界被牵扯进很...?详细>>,http://book.km.com/shuku/257048.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
宅男神戒,涉农,二百一十六章  复仇前奏,失业青年吴冕，一个不显山不露水的普通人，在得到自2046年的宅男神戒之后，意外获得了种种异能。宅男神...?详细>>,http://book.km.com/shuku/256993.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
风流傀儡师,元亨利贞,第二百七十七章：混战开始,这是一个没有魔法没有斗气的世界，这是一个全新的傀儡世界，傀儡师的天下。某傀儡宗师：“这是一个无耻的贱...?详细>>,http://book.km.com/shuku/257120.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
龙游花都,仙都黄龙,第103章 醉酒迷情,黄飞本是一名普通的大四学生，一次意外，让他解开了九龙佩之谜，得到了上古秘技“九龙诀”，从而迈进一个崭...?详细>>,http://book.km.com/shuku/257867.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
网游之幸运坏蛋,小人三石头,第三百四十二章   蜕变，崔昆仑,右手光明，左手黑暗，他是昔日的王者。一腔热血，满腹坏水，他是幸运的坏蛋。斗智斗力，不按套路出牌是他最...?详细>>,http://book.km.com/shuku/257067.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
女神养成计划,不二,第三百七十六章 狼妖覆灭,异能超越科技，成为世界最强能力，当异能者出现井喷，超级英雄纷纷登常一个人的强大，是虚假繁荣。?详细>>,http://book.km.com/shuku/709453.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超级嬴家,笔上刀锋,第四百九十九章 九美聚齐（大结局）,九世善人陈宝，得到了一把红颜美人扇，红颜美人扇中，依附着九个绝代红颜的灵魂。陈宝要依靠自己的努力，使...?详细>>,http://book.km.com/shuku/1128934.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
剑气凌神,叶落,第一百四十章　天秦帝都,神，至高无上，又遥不可及，可我要成神，谁能拦我？易飞，资质低劣，却拥有封神之心，意外之中他得神宿眷顾...?详细>>,http://book.km.com/shuku/1283971.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
龙血武神,雕虹,第五百二十三章 一曲千年（终章）,恶魔少年杜林，左手“罚天”，右手“净世”，身怀“混沌元气”，于帝国都城边缘地带的恶魔林走出，一头扎进...?详细>>,http://book.km.com/shuku/1283968.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
重生逍遥游,极乐天,第二百五十八章 青鸾,一个研究灵魂的科员人员意外重生到剑与魔法的世界。一个没落的上古家族，怎样一步步重铸昔日的辉煌？武、道...?详细>>,http://book.km.com/shuku/261175.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
江山美人,魔度红尘,第一百一十五章 黑色之夜,曾为叱咤风云的武林盟主，一朝落难武功尽失，身怀麒麟真血的他在人生低谷重燃斗志，再出江湖问鼎天下，一身...?详细>>,http://book.km.com/shuku/261066.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
医修本色,五岳,第一百一十一章 十八叠幕,医者，救人杀人，兼济天下。杨铎被美女师姐骗入济世宗之后，连连奇遇，一发不可收拾。美女有木有？萝莉？御...?详细>>,http://book.km.com/shuku/260414.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
超级还原,你白,第322章 曲终人散（大结局）,默默无闻的穷小子得到了一种瞬间换原的异能，从此开始了他不平凡的人生。从学校到社会，从商场到官场，无往...?详细>>,http://book.km.com/shuku/260260.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
狂啸雇佣兵,清朝大萝卜,第183章酒吧偶遇,冷血，谁与我比……狂妄，敢于争锋……暴力，实力证明一切……血腥，把一切威胁斩杀在摇篮中……看一个雇佣...?详细>>,http://book.km.com/shuku/260215.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
异界韦小宝,王孙溪,尾声,师承韦小宝，可是青出于蓝胜于蓝哦，他娶七个美丽老婆来个七星伴月，那么我再怎么也得八个九个的，多多益善...?详细>>,http://book.km.com/shuku/260028.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
都市肥龙,静湖竹筏,第一百二十五章 非凡人到哪都不平凡（大结局）,因心中充满对少年时代遗憾，朱逸渡劫失败。却意外重生回高中年代，先知先觉的他回来第一件事情便是改变养姐...?详细>>,http://book.km.com/shuku/259777.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
儒雅仙道,行走在边缘,第二十一章伴师行万里返中原,重病缠身，羸弱一无是处的付平四十多岁时，离家出走，想自生自灭。不料在再一次昏迷后意料之外地来到另一个...?详细>>,http://book.km.com/shuku/1217616.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
